n,steps,method,localSize,time
2048,1000,kernel_2d.cl,100,0.212326
2048,1000,kernel_2d.cl,128,0.206284
4096,1000,kernel_2d.cl,32,0.320796
4096,1000,kernel_2d.cl,64,0.327811
4096,1000,kernel_2d.cl,70,0.378512
4096,1000,kernel_2d.cl,96,0.315196
4096,1000,kernel_2d.cl,100,0.326885
4096,1000,kernel_2d.cl,128,0.325341
128,10,kernel_local.cl,32,0.0786658
128,10,kernel_local.cl,64,0.0775981
128,10,kernel_local.cl,70,0.0776718
128,10,kernel_local.cl,96,0.0724311
128,10,kernel_local.cl,100,0.0741575
128,10,kernel_local.cl,128,0.0702769
256,10,kernel_local.cl,32,0.0719652
256,10,kernel_local.cl,64,0.125962
256,10,kernel_local.cl,70,0.0728631
256,10,kernel_local.cl,96,0.0724519
256,10,kernel_local.cl,100,0.0712279
256,10,kernel_local.cl,128,0.0785751
512,10,kernel_local.cl,32,0.122495
512,10,kernel_local.cl,64,0.0737239
512,10,kernel_local.cl,70,0.0722358
512,10,kernel_local.cl,96,0.0790523
512,10,kernel_local.cl,100,0.0769763
512,10,kernel_local.cl,128,0.0724501
1024,10,kernel_local.cl,32,0.0714555
1024,10,kernel_local.cl,64,0.0769725
1024,10,kernel_local.cl,70,0.0717835
1024,10,kernel_local.cl,96,0.0716974
1024,10,kernel_local.cl,100,0.0773793
1024,10,kernel_local.cl,128,0.0716566
2048,10,kernel_local.cl,32,0.0741704
2048,10,kernel_local.cl,64,0.0783053
2048,10,kernel_local.cl,70,0.0788651
2048,10,kernel_local.cl,96,0.077012
2048,10,kernel_local.cl,100,0.0735585
2048,10,kernel_local.cl,128,0.0733581
4096,10,kernel_local.cl,32,0.0805815
4096,10,kernel_local.cl,64,0.0789842
4096,10,kernel_local.cl,70,0.0783466
4096,10,kernel_local.cl,96,0.0771831
4096,10,kernel_local.cl,100,0.0755928
4096,10,kernel_local.cl,128,0.0764351
128,100,kernel_local.cl,32,0.0800346
128,100,kernel_local.cl,64,0.0827688
128,100,kernel_local.cl,70,0.0751396
128,100,kernel_local.cl,96,0.0789438
128,100,kernel_local.cl,100,0.0863892
128,100,kernel_local.cl,128,0.0810152
256,100,kernel_local.cl,32,0.0823884
256,100,kernel_local.cl,64,0.0799545
256,100,kernel_local.cl,70,0.0833054
256,100,kernel_local.cl,96,0.0760226
256,100,kernel_local.cl,100,0.08224
256,100,kernel_local.cl,128,0.0826136
512,100,kernel_local.cl,32,0.0795015
512,100,kernel_local.cl,64,0.0821279
512,100,kernel_local.cl,70,0.0808296
512,100,kernel_local.cl,96,0.0799305
512,100,kernel_local.cl,100,0.0791715
512,100,kernel_local.cl,128,0.0832282
1024,100,kernel_local.cl,32,0.083992
1024,100,kernel_local.cl,64,0.0912791
1024,100,kernel_local.cl,70,0.0906986
1024,100,kernel_local.cl,96,0.0876365
1024,100,kernel_local.cl,100,0.0846856
1024,100,kernel_local.cl,128,0.0901433
2048,100,kernel_local.cl,32,0.0947136
2048,100,kernel_local.cl,64,0.0937571
2048,100,kernel_local.cl,70,0.0994447
2048,100,kernel_local.cl,96,0.0930006
2048,100,kernel_local.cl,100,0.094336
2048,100,kernel_local.cl,128,0.0942861
4096,100,kernel_local.cl,32,0.119024
4096,100,kernel_local.cl,64,0.117067
4096,100,kernel_local.cl,70,0.116673
4096,100,kernel_local.cl,96,0.112266
4096,100,kernel_local.cl,100,0.116835
4096,100,kernel_local.cl,128,0.110234
128,1000,kernel_local.cl,32,0.112718
128,1000,kernel_local.cl,64,0.114562
128,1000,kernel_local.cl,70,0.110528
128,1000,kernel_local.cl,96,0.118502
128,1000,kernel_local.cl,100,0.118567
128,1000,kernel_local.cl,128,0.111614
256,1000,kernel_local.cl,32,0.123601
256,1000,kernel_local.cl,64,0.123648
256,1000,kernel_local.cl,70,0.123201
256,1000,kernel_local.cl,96,0.131372
256,1000,kernel_local.cl,100,0.1208
256,1000,kernel_local.cl,128,0.133376
512,1000,kernel_local.cl,32,0.153577
512,1000,kernel_local.cl,64,0.146695
512,1000,kernel_local.cl,70,0.152712
512,1000,kernel_local.cl,96,0.149158
512,1000,kernel_local.cl,100,0.147853
512,1000,kernel_local.cl,128,0.141381
1024,1000,kernel_local.cl,32,0.184177
1024,1000,kernel_local.cl,64,0.180566
1024,1000,kernel_local.cl,70,0.171733
1024,1000,kernel_local.cl,96,0.174318
1024,1000,kernel_local.cl,100,0.171286
1024,1000,kernel_local.cl,128,0.169008
2048,1000,kernel_local.cl,32,0.248261
2048,1000,kernel_local.cl,64,0.247044
2048,1000,kernel_local.cl,70,0.261257
2048,1000,kernel_local.cl,96,0.242686
2048,1000,kernel_local.cl,100,0.241107
2048,1000,kernel_local.cl,128,0.239212
4096,1000,kernel_local.cl,32,0.418179
4096,1000,kernel_local.cl,64,0.416637
4096,1000,kernel_local.cl,70,0.453406
4096,1000,kernel_local.cl,96,0.405191
4096,1000,kernel_local.cl,100,0.41915
4096,1000,kernel_local.cl,128,0.409405
