n,steps,method,localSize,time
4096,1000,kernel_2_shared-memory_1D.ptx,32,0.793635
4096,1000,kernel_2_shared-memory_1D.ptx,64,0.742181
4096,1000,kernel_2_shared-memory_1D.ptx,70,0.73987
4096,1000,kernel_2_shared-memory_1D.ptx,96,0.777811
4096,1000,kernel_2_shared-memory_1D.ptx,100,0.773742
4096,1000,kernel_2_shared-memory_1D.ptx,128,0.763503
128,10,kernel_3_global-memory_2D.ptx,32,0.0899943
128,10,kernel_3_global-memory_2D.ptx,64,0.0904014
128,10,kernel_3_global-memory_2D.ptx,70,0.0912282
128,10,kernel_3_global-memory_2D.ptx,96,0.0960372
128,10,kernel_3_global-memory_2D.ptx,100,0.0886105
128,10,kernel_3_global-memory_2D.ptx,128,0.0928404
256,10,kernel_3_global-memory_2D.ptx,32,0.0890752
256,10,kernel_3_global-memory_2D.ptx,64,0.0892443
256,10,kernel_3_global-memory_2D.ptx,70,0.091351
256,10,kernel_3_global-memory_2D.ptx,96,0.0891946
256,10,kernel_3_global-memory_2D.ptx,100,0.0939367
256,10,kernel_3_global-memory_2D.ptx,128,0.0912057
512,10,kernel_3_global-memory_2D.ptx,32,0.0929536
512,10,kernel_3_global-memory_2D.ptx,64,0.0922682
512,10,kernel_3_global-memory_2D.ptx,70,0.0977995
512,10,kernel_3_global-memory_2D.ptx,96,0.0943506
512,10,kernel_3_global-memory_2D.ptx,100,0.093267
512,10,kernel_3_global-memory_2D.ptx,128,0.0920783
1024,10,kernel_3_global-memory_2D.ptx,32,0.093343
1024,10,kernel_3_global-memory_2D.ptx,64,0.0907902
1024,10,kernel_3_global-memory_2D.ptx,70,0.0911525
1024,10,kernel_3_global-memory_2D.ptx,96,0.0941486
1024,10,kernel_3_global-memory_2D.ptx,100,0.0902971
1024,10,kernel_3_global-memory_2D.ptx,128,0.0917772
2048,10,kernel_3_global-memory_2D.ptx,32,0.0939777
2048,10,kernel_3_global-memory_2D.ptx,64,0.0932583
2048,10,kernel_3_global-memory_2D.ptx,70,0.093589
2048,10,kernel_3_global-memory_2D.ptx,96,0.0948159
2048,10,kernel_3_global-memory_2D.ptx,100,0.0909543
2048,10,kernel_3_global-memory_2D.ptx,128,0.0945053
4096,10,kernel_3_global-memory_2D.ptx,32,0.0946267
4096,10,kernel_3_global-memory_2D.ptx,64,0.0955808
4096,10,kernel_3_global-memory_2D.ptx,70,0.0971
4096,10,kernel_3_global-memory_2D.ptx,96,0.0951935
4096,10,kernel_3_global-memory_2D.ptx,100,0.0985276
4096,10,kernel_3_global-memory_2D.ptx,128,0.0961685
128,100,kernel_3_global-memory_2D.ptx,32,0.0937919
128,100,kernel_3_global-memory_2D.ptx,64,0.0921975
128,100,kernel_3_global-memory_2D.ptx,70,0.0939916
128,100,kernel_3_global-memory_2D.ptx,96,0.0923922
128,100,kernel_3_global-memory_2D.ptx,100,0.0926559
128,100,kernel_3_global-memory_2D.ptx,128,0.0926006
256,100,kernel_3_global-memory_2D.ptx,32,0.0961996
256,100,kernel_3_global-memory_2D.ptx,64,0.0957712
256,100,kernel_3_global-memory_2D.ptx,70,0.0960961
256,100,kernel_3_global-memory_2D.ptx,96,0.0937936
256,100,kernel_3_global-memory_2D.ptx,100,0.097689
256,100,kernel_3_global-memory_2D.ptx,128,0.0974736
512,100,kernel_3_global-memory_2D.ptx,32,0.100812
512,100,kernel_3_global-memory_2D.ptx,64,0.100545
512,100,kernel_3_global-memory_2D.ptx,70,0.0991734
512,100,kernel_3_global-memory_2D.ptx,96,0.0980287
512,100,kernel_3_global-memory_2D.ptx,100,0.0989924
512,100,kernel_3_global-memory_2D.ptx,128,0.0996668
1024,100,kernel_3_global-memory_2D.ptx,32,0.10939
1024,100,kernel_3_global-memory_2D.ptx,64,0.10656
1024,100,kernel_3_global-memory_2D.ptx,70,0.107022
1024,100,kernel_3_global-memory_2D.ptx,96,0.108108
1024,100,kernel_3_global-memory_2D.ptx,100,0.107519
1024,100,kernel_3_global-memory_2D.ptx,128,0.107318
2048,100,kernel_3_global-memory_2D.ptx,32,0.123272
2048,100,kernel_3_global-memory_2D.ptx,64,0.120833
2048,100,kernel_3_global-memory_2D.ptx,70,0.124272
2048,100,kernel_3_global-memory_2D.ptx,96,0.125301
2048,100,kernel_3_global-memory_2D.ptx,100,0.123243
2048,100,kernel_3_global-memory_2D.ptx,128,0.12427
4096,100,kernel_3_global-memory_2D.ptx,32,0.157821
4096,100,kernel_3_global-memory_2D.ptx,64,0.157222
4096,100,kernel_3_global-memory_2D.ptx,70,0.157393
4096,100,kernel_3_global-memory_2D.ptx,96,0.157698
